OpenROAD f12e2f474102bfb875eeee57fb610d7d7de17770 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PSM-0002] Output voltage file is specified as: /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/reports/pdnsim_vdd.rpt.
[WARNING PSM-0016] Voltage pad location (VSRC) file not specified, defaulting pad location to checkerboard pattern on core area.
[WARNING PSM-0017] X direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0018] Y direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0065] VSRC location not specified, using default checkerboard pattern with one VDD every size bumps in x-direction and one in two bumps in the y-direction
[WARNING PSM-0030] VSRC location at (10.080um, 11.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (10.080um, 41.460um).
[WARNING PSM-0030] VSRC location at (290.080um, 151.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (280.080um, 161.460um).
[INFO PSM-0031] Number of PDN nodes on net vdd = 16202.
[WARNING PSM-0024] Instance _04931_, current node at (54000, 219520) at layer 1 have been moved from (54880, 211680).
[WARNING PSM-0024] Instance _04932_, current node at (54000, 297920) at layer 1 have been moved from (54880, 290080).
[WARNING PSM-0024] Instance _04933_, current node at (54000, 203840) at layer 1 have been moved from (54880, 196000).
[WARNING PSM-0024] Instance _04935_, current node at (351000, 376320) at layer 1 have been moved from (352800, 368480).
[WARNING PSM-0024] Instance _04936_, current node at (394200, 376320) at layer 1 have been moved from (395360, 368480).
[WARNING PSM-0024] Instance _04937_, current node at (378000, 392000) at layer 1 have been moved from (379680, 384160).
[WARNING PSM-0024] Instance _04939_, current node at (372600, 282240) at layer 1 have been moved from (371840, 274400).
[WARNING PSM-0024] Instance _04943_, current node at (54000, 407680) at layer 1 have been moved from (54880, 399840).
[WARNING PSM-0024] Instance _04944_, current node at (54000, 470400) at layer 1 have been moved from (54880, 462560).
[WARNING PSM-0024] Instance _04947_, current node at (162000, 392000) at layer 1 have been moved from (161280, 384160).
[WARNING PSM-0024] Instance _04950_, current node at (280800, 360640) at layer 1 have been moved from (282240, 352800).
[WARNING PSM-0024] Instance _04951_, current node at (361800, 235200) at layer 1 have been moved from (360640, 227360).
[WARNING PSM-0024] Instance _04952_, current node at (448200, 266560) at layer 1 have been moved from (450240, 258720).
[WARNING PSM-0024] Instance _04953_, current node at (388800, 250880) at layer 1 have been moved from (389760, 243040).
[WARNING PSM-0024] Instance _04956_, current node at (232200, 517440) at layer 1 have been moved from (231840, 509600).
[WARNING PSM-0024] Instance _04957_, current node at (243000, 439040) at layer 1 have been moved from (244160, 431200).
[WARNING PSM-0024] Instance _04958_, current node at (221400, 501760) at layer 1 have been moved from (220640, 493920).
[WARNING PSM-0024] Instance _04967_, current node at (318600, 376320) at layer 1 have been moved from (318080, 368480).
[WARNING PSM-0024] Instance _04970_, current node at (448200, 407680) at layer 1 have been moved from (450240, 399840).
[WARNING PSM-0024] Instance _04972_, current node at (464400, 376320) at layer 1 have been moved from (467040, 368480).
[WARNING PSM-0024] Instance _04974_, current node at (491400, 344960) at layer 1 have been moved from (491680, 337120).
[WARNING PSM-0024] Instance _04976_, current node at (113400, 454720) at layer 1 have been moved from (114240, 446880).
[WARNING PSM-0024] Instance _04977_, current node at (124200, 376320) at layer 1 have been moved from (125440, 368480).
[WARNING PSM-0024] Instance _04978_, current node at (124200, 454720) at layer 1 have been moved from (122080, 446880).
[WARNING PSM-0024] Instance _04981_, current node at (194400, 297920) at layer 1 have been moved from (196000, 290080).
[WARNING PSM-0024] Instance _04984_, current node at (448200, 188160) at layer 1 have been moved from (446880, 180320).
[WARNING PSM-0024] Instance _04985_, current node at (378000, 203840) at layer 1 have been moved from (379680, 196000).
[WARNING PSM-0024] Instance _04986_, current node at (469800, 188160) at layer 1 have been moved from (469280, 180320).
[WARNING PSM-0024] Instance _04987_, current node at (243000, 486080) at layer 1 have been moved from (240800, 478240).
[WARNING PSM-0024] Instance _04989_, current node at (264600, 501760) at layer 1 have been moved from (263200, 493920).
[WARNING PSM-0024] Instance _04991_, current node at (232200, 172480) at layer 1 have been moved from (229600, 164640).
[WARNING PSM-0024] Instance _04993_, current node at (248400, 172480) at layer 1 have been moved from (250880, 164640).
[WARNING PSM-0024] Instance _04995_, current node at (43200, 250880) at layer 1 have been moved from (42560, 243040).
[WARNING PSM-0024] Instance _04996_, current node at (54000, 329280) at layer 1 have been moved from (53760, 321440).
[WARNING PSM-0024] Instance _04997_, current node at (59400, 250880) at layer 1 have been moved from (61600, 243040).
